team_id_master,team_name,club_name,alias,state_code,state,age_group,gender,birth_year,is_deprecated,division,modular11_alias
1a8bb1ba-a39d-447a-ad1f-51a221f9acc4,Hoover Vestavia 12 NEXT2,Hoover-Vestavia Soccer,684313,AL,Alabama,u14,Male,2012,FALSE,AD,
94ca6c8a-cded-4d4f-b249-7f2d28f01b00,Hoover-Vestavia Soccer U14,Hoover-Vestavia Soccer,462_U14_HD,AL,Alabama,u14,Male,2012,FALSE,HD,
099103a4-5eb7-4387-bfeb-c680086fe97b,Ozark United FC Academy U14,Ozark United FC Academy AD,1323_U14_AD,AR,Arkansas,u14,Male,2012,FALSE,AD,
5feee4c8-b532-4ba9-bad7-7f01c4ca28fe,RSL Arizona U14 HD,RSL Arizona,391_U14_HD,AZ,Arizona,u14,Male,2012,FALSE,HD,
207495b8-bb37-493a-8a39-67d73c8e5041,RSL Arizona U14 AD,RSL Arizona,626165,AZ,Arizona,u14,Male,2012,FALSE,AD,
3af389d2-24fa-4608-90c2-b2985037f5e1,Phoenix Rising FC U14 AD,Phoenix Rising FC,390_U14_AD,AZ,Arizona,u14,Male,2012,FALSE,AD,
5b09c840-6605-46ac-acae-dd0e8ee42529,RSL Arizona Mesa U14 AD,RSL Arizona Mesa,626182,AZ,Arizona,u14,Male,2012,FALSE,AD,
94ded7eb-721e-441d-aba3-d0acd94b8282,FC Tucson Youth Soccer Club U14 AD,FC Tucson Youth Soccer Club,99003,AZ,Arizona,u14,Male,2012,FALSE,AD,
e3f009c0-033b-42a4-a359-cff7ca4ba004,Phoenix Premier FC U14 AD,Phoenix Premier FC,57040,AZ,Arizona,u14,Male,2012,FALSE,AD,
cd931e40-543e-4003-95d0-4a7428f08931,Monarchs AZ U14 AD,Monarchs AZ,1348_U14_AD,AZ,Arizona,u14,Male,2012,FALSE,AD,
7387cc72-ee35-4d9c-bb55-8a99e160e50c,SC Del Sol U14 HD,SC Del Sol,532221,AZ,Arizona,u14,Male,2012,FALSE,HD,
1a74ef0c-f94a-401a-97b7-78dad9ac61af,RSL Arizona Mesa U14 HD,RSL Arizona Mesa,247559,AZ,Arizona,u14,Male,2012,FALSE,HD,
79c926e1-c42f-404f-afbd-4ef1b7eb2893,Phoenix Rising FC U14 HD,Phoenix Rising FC,390_U14_HD,AZ,Arizona,u14,Male,2012,FALSE,HD,
9548fdfd-a610-4b17-bf63-2426abe1002e,Bay Area Surf U14 AD,Bay Area Surf,496714,CA,California,u14,Male,,FALSE,AD,
d4a36f24-f152-4be5-9198-f786aef562e1,Santa Barbara Soccer Club B2012 White,Santa Barbara Soccer Club,394_U14_AD,CA,California,u14,Male,,FALSE,AD,
65a027e1-118a-4fb9-bfdf-a77ca12bf881,Strikers FC U14 AD,Strikers FC,568195,CA,California,u14,Male,,FALSE,AD,
89c89ee1-d6b3-487e-949f-4b1e084a81f0,Ballistic United U14 HD,Ballistic United,105_U14_HD,CA,California,u14,Male,,FALSE,HD,
4f57a4b3-ce80-4ef6-8b06-e3b480aef6d7,Elk Grove Soccer U14 AD,Elk Grove Soccer,158_U14_AD,CA,California,u14,Male,,FALSE,AD,
d49ec245-617f-4d13-a199-d85bd31186b3,City SC San Diego U14 HD,City SC San Diego,392_U14_HD,CA,California,u14,Male,,FALSE,HD,
1b78d231-090f-4425-8476-9e85cb3241c7,Chula Vista FC U14 AD,Chula Vista FC,393_U14_AD,CA,California,u14,Male,,FALSE,AD,
d49a7b7a-fe5b-4367-a1e8-2f3ac2239ad9,Los Angeles Surf U14 HD,LA Surf Soccer Club,395_U14_HD,CA,California,u14,Male,,FALSE,HD,
4e175074-975a-4c97-bb15-6aef9ded3fc9,Ventura County Fusion U14 HD,Ventura County Fusion,397_U14_HD,CA,California,u14,Male,,FALSE,HD,
6536ec3d-b4d1-4f5a-b44b-78f36ccea960,Lamorinda Soccer Club U14 HD,Lamorinda Soccer Club,411_U14_HD,CA,California,u14,Male,,FALSE,HD,
aa96aff8-95fa-435b-be67-ac7268f3b374,Bay Area Surf U14 HD,Bay Area Surf,406_U14_HD,CA,California,u14,Male,,FALSE,HD,
2e68b910-4ca4-4b3c-8b50-22256f5c86fe,The Town FC Academy U14 HD,The Town FC Academy,461_U14_HD,CA,California,u14,Male,,FALSE,HD,
0cfb6248-fa84-4118-98af-60946028acb1,Sacramento United U14 HD,Sacramento United,564_U14_HD,CA,California,u14,Male,,FALSE,HD,
1ebfbb47-2385-4481-bda1-0fe7f1522769,SoCal Reds FC U14 HD,SoCal Reds FC,566_U14_HD,CA,California,u14,Male,,FALSE,HD,
25ed8009-030d-4106-98c4-365667274709,Laguna United FC U14 AD,Laguna United FC,890_U14_AD,CA,California,u14,Male,,FALSE,AD,
04e1204b-487e-4be4-81d8-1d6c29a5ad1b,LA Galaxy U14 HD,LA Galaxy,14_U14_HD,CA,California,u14,Male,,FALSE,HD,
8e68c0dc-66d3-4129-9869-46eb010d29d2,City SC Southwest U14 AD,City SC Southwest,637407,CA,California,u14,Male,,FALSE,AD,
6461a2ba-b331-482f-bfa8-6f052a2d6046,ALBION SC Los Angeles U14 AD,ALBION SC Los Angeles,103_U14_AD,CA,California,u14,Male,,FALSE,AD,
608e36b5-8697-4c00-874a-29c013ae1ae2,Oaks FC U14 AD,Oaks FC,925_U14_AD,CA,California,u14,Male,,FALSE,AD,
f6cc64e9-561e-4cf4-8b17-ba6d18604d41,Woodside Soccer Club Crush U14 AD,Woodside Soccer Club Crush,133974,CA,California,u14,Male,,FALSE,AD,
e62b8308-f6b3-4693-b8d2-9826196b008b,Modesto Ajax United U14 AD,Modesto Ajax United,99488,CA,California,u14,Male,,FALSE,AD,
4a861b9d-9103-4281-9ed4-ef7980b7d110,Sacramento Republic FC U14 HD,Sacramento Republic FC,45_U14_HD,CA,California,u14,Male,,FALSE,HD,
f5018673-e454-4a67-a321-0e801703b1bc,Sacramento United U14 AD,Sacramento United,72737,CA,California,u14,Male,,FALSE,AD,
5eead73d-5075-402e-840d-a4373aba306a,Almaden FC U14 AD,Almaden FC,990_U14_AD,CA,California,u14,Male,,FALSE,AD,
8af49383-dd41-4ae8-ab0f-4d9ccbeea031,Los Angeles Bulls Soccer Club U14 AD,Los Angeles Bulls Soccer Club,581_U14_AD,CA,California,u14,Male,,FALSE,AD,
3173fb7f-8efe-47a5-8e56-8a2442854cd1,ALBION SC San Diego U14 HD,ALBION SC San Diego,137713,CA,California,u14,Male,,FALSE,HD,
50eda49c-4aaf-4930-b977-88e3941127a0,Lamorinda Soccer Club U14 AD,Lamorinda SC,159673,CA,California,u14,Male,,FALSE,AD,
017906f9-a2a9-4040-aa1a-7a5d307079f8,Woodside Soccer Club Crush U14 HD,Woodside Soccer Club Crush,627424,CA,California,u14,Male,,FALSE,HD,
a950e66b-1ca5-48a6-90bd-9212a04844f5,Modesto Ajax United U14 HD,Modesto Ajax United,361722,CA,California,u14,Male,,FALSE,HD,
